https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1614470400000,2021-02-28 00:00:00,BAT/USDT,0.51472603,0.53652173,0.45965022,0.52182121,13560.060824985963222,27702.0537058,0,0,0,0.48949659
1614384000000,2021-02-27 00:00:00,BAT/USDT,0.52794819,0.56900308,0.50571428,0.51947259,12048.5560108756399578,22325.62171546,0,0,0,0.53967393
1614297600000,2021-02-26 00:00:00,BAT/USDT,0.47714285,0.55718782,0.44380952,0.52877513,14143.2625711771636316,27889.46505946,0,0,0,0.50711846
1614211200000,2021-02-25 00:00:00,BAT/USDT,0.51127868,0.54304347,0.47,0.48505644,11318.7974912360050122,22606.25999337,0,0,0,0.50069306
1614124800000,2021-02-24 00:00:00,BAT/USDT,0.47801602,0.54956521,0.44742945,0.51253175,16725.0521904541460517,33298.72239513,0,0,0,0.50227309
1614038400000,2021-02-23 00:00:00,BAT/USDT,0.54304347,0.54819606,0.4,0.47801602,29602.102556410452237,64987.27449955,0,0,0,0.45550614
1613952000000,2021-02-22 00:00:00,BAT/USDT,0.60903343,0.64,0.45194392,0.54198736,40563.534318426058611,75460.39305826,0,0,0,0.53754735
1613865600000,2021-02-21 00:00:00,BAT/USDT,0.57759993,0.61,0.56586956,0.60599345,17969.0140577006261276,30393.03317887,0,0,0,0.59122148
1613779200000,2021-02-20 00:00:00,BAT/USDT,0.61478259,0.635,0.54717826,0.57891304,29447.27465862619437,49436.909599,0,0,0,0.59565363
1613692800000,2021-02-19 00:00:00,BAT/USDT,0.63746759,0.65765957,0.57821281,0.61227186,28525.1901839620063047,45513.92632129,0,0,0,0.62673543
1613606400000,2021-02-18 00:00:00,BAT/USDT,0.57700527,0.6480851,0.5619,0.63654206,29981.3055594637200504,49193.00011706,0,0,0,0.60946284
1613520000000,2021-02-17 00:00:00,BAT/USDT,0.55712995,0.59893159,0.50981022,0.57686291,18099.2782269362635326,32100.64977842,0,0,0,0.56382903
1613433600000,2021-02-16 00:00:00,BAT/USDT,0.53638297,0.58998531,0.52371269,0.55482851,17860.869850959921687,32128.03288153,0,0,0,0.5559279
1613347200000,2021-02-15 00:00:00,BAT/USDT,0.56510638,0.59702127,0.46404048,0.53957446,38171.2193239658135644,72381.76081121,0,0,0,0.52735964
1613260800000,2021-02-14 00:00:00,BAT/USDT,0.6193617,0.62659334,0.54317911,0.56191489,35219.4547547042062806,60643.21885742,0,0,0,0.58076493
1613174400000,2021-02-13 00:00:00,BAT/USDT,0.62872676,0.69527587,0.57460271,0.61929362,52451.2552822536640992,83151.72545808,0,0,0,0.63078974
1613088000000,2021-02-12 00:00:00,BAT/USDT,0.5865855,0.71564791,0.55,0.62865946,105252.8758338073679769,158823.95176273,0,0,0,0.66270153
1613001600000,2021-02-11 00:00:00,BAT/USDT,0.44381075,0.666,0.43415817,0.59903848,130807.1250385708756025,246341.84867975,0,0,0,0.53099839
1612915200000,2021-02-10 00:00:00,BAT/USDT,0.43282882,0.46399769,0.365,0.4453642,23890.3108462845176339,56750.54064053,0,0,0,0.42097063
1612828800000,2021-02-09 00:00:00,BAT/USDT,0.41857683,0.449,0.40335505,0.43656427,14739.6678843398226222,35002.60966326,0,0,0,0.42110197
1612742400000,2021-02-08 00:00:00,BAT/USDT,0.40612347,0.43214888,0.3901,0.41941567,14480.848549378712286,35103.19820213,0,0,0,0.4125222
1612656000000,2021-02-07 00:00:00,BAT/USDT,0.35337169,0.427,0.34732266,0.40760334,29329.3406244831736375,75551.39039575,0,0,0,0.38820385
1612569600000,2021-02-06 00:00:00,BAT/USDT,0.37201689,0.37353071,0.3401,0.35170254,5441.0321113021219496,15471.25491724,0,0,0,0.35168654
1612483200000,2021-02-05 00:00:00,BAT/USDT,0.31977385,0.37335842,0.31793273,0.37201689,12470.296497871734324,35891.2772221,0,0,0,0.34744644
1612396800000,2021-02-04 00:00:00,BAT/USDT,0.32541252,0.32541252,0.30454545,0.31455777,2408.9763994987154247,7704.60442577,0,0,0,0.31266711
1612310400000,2021-02-03 00:00:00,BAT/USDT,0.31425748,0.32815965,0.31425748,0.32541252,3906.330349190345464,12121.22542856,0,0,0,0.3222719
1612224000000,2021-02-02 00:00:00,BAT/USDT,0.31685372,0.32635176,0.306951,0.31657355,3151.6456496341259914,9988.08314846,0,0,0,0.31554059
1612137600000,2021-02-01 00:00:00,BAT/USDT,0.29567118,0.32151188,0.29381149,0.31759685,5449.0580566964714055,17988.20006685,0,0,0,0.30292403
1612051200000,2021-01-31 00:00:00,BAT/USDT,0.31630302,0.32272727,0.29567118,0.30014164,1561.6718666965484173,5052.88694099,0,0,0,0.30906527
1611964800000,2021-01-30 00:00:00,BAT/USDT,0.31028702,0.32,0.29663089,0.31608664,2730.5031804834299814,8707.82162538,0,0,0,0.31356903
1611878400000,2021-01-29 00:00:00,BAT/USDT,0.30528102,0.31547201,0.2901,0.31028702,2114.9750057604779624,6979.96026676,0,0,0,0.30300674
